course,DFWINC,daysregb4classstart,numaddlcourses,YearsofCollege,is_repeating_course,workingfulltime
MIS100,0,342,0,2,0,0
MIS100,0,737,0,2,0,0
MIS100,0,7,1,1,0,0
MIS100,0,13,1,1,0,0
MIS100,0,14,2,2,0,0
MIS100,0,14,2,2,0,0
MIS100,0,0,2,2,0,0
MIS100,0,9,2,2,0,0
MIS100,0,35,4,2,0,0
MIS100,0,68,4,2,0,0
MIS100,0,18,4,2,0,0
MIS100,0,37,4,2,0,0
MIS100,0,68,4,2,0,0
MIS100,0,37,4,2,0,0
MIS100,0,12,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,7,4,2,0,0
MIS100,0,37,4,1,0,0
MIS100,0,72,4,2,0,0
MIS100,0,72,4,2,0,0
MIS100,0,72,4,2,0,0
MIS100,0,127,5,2,0,0
MIS100,0,78,5,2,0,0
MIS100,0,48,5,2,0,0
MIS100,0,77,5,2,0,0
MIS100,0,99,5,2,0,0
MIS100,0,118,10,1,0,0
MIS100,0,95,11,2,0,0
MIS100,0,69,4,2,0,0
MIS100,0,15,3,2,0,0
MIS100,0,36,3,3,0,0
MIS100,0,70,3,2,0,0
MIS100,0,45,3,2,0,0
MIS100,0,16,3,2,0,0
MIS100,0,70,3,2,0,0
MIS100,0,107,5,2,0,0
MIS100,0,96,5,2,0,0
MIS100,0,113,5,2,0,0
MIS100,0,90,5,2,0,0
MIS100,0,50,5,2,0,0
MIS100,0,113,5,2,0,0
MIS100,0,93,8,2,0,0
MIS100,0,76,10,2,0,0
MIS100,0,3,1,2,0,0
MIS100,0,1,1,2,0,0
MIS100,0,1,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,0,1,2,0,0
MIS100,0,14,2,2,0,0
MIS100,0,10,2,2,0,0
MIS100,0,5,2,2,0,0
MIS100,0,17,3,2,0,0
MIS100,0,93,3,2,0,0
MIS100,0,10,2,2,0,0
MIS100,0,3,2,2,0,0
MIS100,0,51,2,2,0,0
MIS100,0,2,2,2,0,0
MIS100,0,15,2,2,0,0
MIS100,0,3,2,2,0,0
MIS100,0,2,2,1,0,0
MIS100,0,72,2,2,0,0
MIS100,0,81,6,3,0,0
MIS100,0,99,7,2,0,0
MIS100,0,364,7,2,0,0
MIS100,0,99,7,2,0,0
MIS100,0,324,10,2,0,0
MIS100,0,69,10,2,0,0
MIS100,0,12,1,2,0,0
MIS100,0,9,1,2,0,0
MIS100,0,1,1,2,0,0
MIS100,0,21,1,2,0,0
MIS100,0,9,1,2,0,0
MIS100,0,109,1,2,0,0
MIS100,0,63,5,3,0,0
MIS100,0,101,5,2,0,0
